duration_ms,error_message,error_type,event,level,method,path,request_id,service,session_id,stacktrace_hash,status_code,timestamp
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.846
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:19.847
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.640
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.640
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.742
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.743
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.745
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.746
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.850
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:03:22.851
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.512
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.520
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.627
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.630
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.660
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.661
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.715
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.718
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.764
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:04:15.768
,,,db.connecting,INFO,,,,restaurants-service,,,,2025-12-29T18:17:52.008
,,,db.connected,INFO,,,,restaurants-service,,,,2025-12-29T18:17:54.075
,,,server.started,INFO,,,,restaurants-service,,,,2025-12-29T18:17:54.096
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:17:54.118
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:17:54.122
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:17:54.802
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:17:54.832
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:17:55.163
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:17:55.172
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:26.337
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:18:26.338
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:18:26.443
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:26.906
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:18:26.907
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.010
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.013
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.016
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.017
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.092
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.095
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.120
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:18:27.122
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.320
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.321
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.423
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.825
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.828
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.931
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.933
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.936
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:18:59.938
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:19:00.018
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:19:00.020
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:19:00.041
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:19:00.043
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:19:09.314
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:19:09.316
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:19:09.420
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:19:09.422
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.749
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.750
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.852
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.854
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.855
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.856
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.918
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.919
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.956
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T18:19:10.958
,,,db.connecting,INFO,,,,restaurants-service,,,,2025-12-29T19:21:03.695
,,,db.connected,INFO,,,,restaurants-service,,,,2025-12-29T19:21:07.120
,,,server.started,INFO,,,,restaurants-service,,,,2025-12-29T19:21:07.126
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T19:21:24.238
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T19:21:24.239
